"Time","Motor"
2026-04-23 00:30:00,0 Wh
2026-04-23 00:40:00,0 Wh
2026-04-23 00:50:00,0 Wh
2026-04-23 01:00:00,0 Wh
2026-04-23 01:10:00,0 Wh
2026-04-23 01:20:00,0 Wh
2026-04-23 01:30:00,0 Wh
2026-04-23 01:40:00,0 Wh
2026-04-23 01:50:00,0 Wh
2026-04-23 02:00:00,0 Wh
2026-04-23 02:10:00,0 Wh
2026-04-23 02:20:00,0 Wh
2026-04-23 02:30:00,0 Wh
2026-04-23 02:40:00,0 Wh
2026-04-23 02:50:00,0 Wh
2026-04-23 03:00:00,0 Wh
2026-04-23 03:10:00,0 Wh
2026-04-23 03:20:00,17.4 Wh
2026-04-23 03:30:00,0 Wh
2026-04-23 03:40:00,1.58 Wh
2026-04-23 03:50:00,4.92 Wh
2026-04-23 04:00:00,0 Wh
2026-04-23 04:10:00,0 Wh
2026-04-23 04:20:00,0 Wh
2026-04-23 04:30:00,0 Wh
2026-04-23 04:40:00,12.6 Wh
2026-04-23 04:50:00,18.2 Wh
2026-04-23 05:00:00,0 Wh
2026-04-23 05:10:00,0 Wh
2026-04-23 05:20:00,31.8 Wh
2026-04-23 05:30:00,32.4 Wh
2026-04-23 05:40:00,12.7 Wh
2026-04-23 05:50:00,0 Wh
2026-04-23 06:00:00,0 Wh
2026-04-23 06:10:00,0 Wh
2026-04-23 06:20:00,0 Wh
2026-04-23 06:30:00,0 Wh
2026-04-23 06:40:00,0 Wh
2026-04-23 06:50:00,0 Wh
2026-04-23 07:00:00,0 Wh
2026-04-23 07:10:00,0 Wh
2026-04-23 07:20:00,0 Wh
2026-04-23 07:30:00,0 Wh
2026-04-23 07:40:00,0 Wh
2026-04-23 07:50:00,0 Wh
2026-04-23 08:00:00,0 Wh
2026-04-23 08:10:00,0 Wh
2026-04-23 08:20:00,0 Wh
2026-04-23 08:30:00,0 Wh
2026-04-23 08:40:00,0 Wh
2026-04-23 08:50:00,0 Wh
2026-04-23 09:00:00,0 Wh
2026-04-23 09:10:00,0 Wh
2026-04-23 09:20:00,0 Wh
2026-04-23 09:30:00,0 Wh
2026-04-23 09:40:00,0 Wh
2026-04-23 09:50:00,0 Wh
2026-04-23 10:00:00,0 Wh
2026-04-23 10:10:00,14.8 Wh
2026-04-23 10:20:00,70.7 Wh
2026-04-23 10:30:00,71.4 Wh
2026-04-23 10:40:00,71.0 Wh
2026-04-23 10:50:00,70.9 Wh
2026-04-23 11:00:00,70.7 Wh
2026-04-23 11:10:00,71.8 Wh
2026-04-23 11:20:00,72.6 Wh
2026-04-23 11:30:00,72.5 Wh
2026-04-23 11:40:00,73.2 Wh
2026-04-23 11:50:00,62.0 Wh
2026-04-23 12:00:00,61.0 Wh
2026-04-23 12:10:00,61.3 Wh
2026-04-23 12:20:00,62.2 Wh
2026-04-23 12:30:00,63.0 Wh
2026-04-23 12:40:00,61.9 Wh
2026-04-23 12:50:00,62.0 Wh
2026-04-23 13:00:00,60.4 Wh
2026-04-23 13:10:00,61.3 Wh
2026-04-23 13:20:00,61.9 Wh
2026-04-23 13:30:00,56.6 Wh
2026-04-23 13:40:00,56.6 Wh
2026-04-23 13:50:00,54.2 Wh
2026-04-23 14:00:00,56.3 Wh
2026-04-23 14:10:00,56.0 Wh
2026-04-23 14:20:00,55.6 Wh
2026-04-23 14:30:00,56.4 Wh
2026-04-23 14:40:00,56.9 Wh
2026-04-23 14:50:00,57.0 Wh
2026-04-23 15:00:00,56.9 Wh
2026-04-23 15:10:00,56.7 Wh
2026-04-23 15:20:00,57.1 Wh
2026-04-23 15:30:00,56.9 Wh
2026-04-23 15:40:00,56.0 Wh
2026-04-23 15:50:00,43.7 Wh
2026-04-23 16:00:00,0 Wh
2026-04-23 16:10:00,0 Wh
2026-04-23 16:20:00,0 Wh
2026-04-23 16:30:00,0 Wh
2026-04-23 16:40:00,0 Wh
2026-04-23 16:50:00,0 Wh
2026-04-23 17:00:00,0 Wh
2026-04-23 17:10:00,0 Wh
2026-04-23 17:20:00,0 Wh
2026-04-23 17:30:00,0 Wh
2026-04-23 17:40:00,0 Wh
2026-04-23 17:50:00,0 Wh
2026-04-23 18:00:00,0 Wh
