"Time","Motor"
2026-04-06 20:10:00,0 Wh
2026-04-06 20:20:00,0 Wh
2026-04-06 20:30:00,0 Wh
2026-04-06 20:40:00,0 Wh
2026-04-06 20:50:00,1.51 Wh
2026-04-06 21:00:00,30.0 Wh
2026-04-06 21:10:00,29.8 Wh
2026-04-06 21:20:00,30.1 Wh
2026-04-06 21:30:00,29.7 Wh
2026-04-06 21:40:00,29.8 Wh
2026-04-06 21:50:00,29.7 Wh
2026-04-06 22:00:00,29.3 Wh
2026-04-06 22:10:00,29.6 Wh
2026-04-06 22:20:00,29.7 Wh
2026-04-06 22:30:00,29.9 Wh
2026-04-06 22:40:00,30.1 Wh
2026-04-06 22:50:00,29.7 Wh
2026-04-06 23:00:00,29.6 Wh
2026-04-06 23:10:00,29.3 Wh
2026-04-06 23:20:00,28.9 Wh
2026-04-06 23:30:00,28.4 Wh
2026-04-06 23:40:00,28.6 Wh
2026-04-06 23:50:00,22.2 Wh
2026-04-07 00:00:00,8.50 Wh
2026-04-07 00:10:00,6.86 Wh
2026-04-07 00:20:00,12.0 Wh
2026-04-07 00:30:00,18.8 Wh
2026-04-07 00:40:00,18.5 Wh
2026-04-07 00:50:00,18.0 Wh
2026-04-07 01:00:00,18.1 Wh
2026-04-07 01:10:00,16.2 Wh
2026-04-07 01:20:00,33.5 Wh
2026-04-07 01:30:00,45.7 Wh
2026-04-07 01:40:00,24.9 Wh
2026-04-07 01:50:00,0 Wh
2026-04-07 02:00:00,1.04 Wh
2026-04-07 02:10:00,1.58 Wh
2026-04-07 02:20:00,0 Wh
2026-04-07 02:30:00,0 Wh
2026-04-07 02:40:00,12.2 Wh
2026-04-07 02:50:00,26.5 Wh
2026-04-07 03:00:00,26.2 Wh
2026-04-07 03:10:00,25.9 Wh
2026-04-07 03:20:00,26.2 Wh
2026-04-07 03:30:00,23.7 Wh
2026-04-07 03:40:00,0 Wh
2026-04-07 03:50:00,0 Wh
2026-04-07 04:00:00,0 Wh
2026-04-07 04:10:00,0 Wh
2026-04-07 04:20:00,0 Wh
2026-04-07 04:30:00,0 Wh
2026-04-07 04:40:00,0 Wh
2026-04-07 04:50:00,0 Wh
2026-04-07 05:00:00,0 Wh
2026-04-07 05:10:00,0 Wh
2026-04-07 05:20:00,0 Wh
2026-04-07 05:30:00,0 Wh
2026-04-07 05:40:00,0 Wh
2026-04-07 05:50:00,0 Wh
2026-04-07 06:00:00,0 Wh
2026-04-07 06:10:00,0 Wh
2026-04-07 06:20:00,0 Wh
2026-04-07 06:30:00,0 Wh
2026-04-07 06:40:00,0 Wh
2026-04-07 06:50:00,0 Wh
2026-04-07 07:00:00,0 Wh
2026-04-07 07:10:00,0 Wh
2026-04-07 07:20:00,0 Wh
2026-04-07 07:30:00,0 Wh
2026-04-07 07:40:00,0 Wh
2026-04-07 07:50:00,2.09 Wh
2026-04-07 08:00:00,11.4 Wh
2026-04-07 08:10:00,11.7 Wh
2026-04-07 08:20:00,11.7 Wh
2026-04-07 08:30:00,11.7 Wh
2026-04-07 08:40:00,11.7 Wh
2026-04-07 08:50:00,3.83 Wh
2026-04-07 09:00:00,0 Wh
2026-04-07 09:10:00,0 Wh
2026-04-07 09:20:00,0 Wh
2026-04-07 09:30:00,0 Wh
2026-04-07 09:40:00,0 Wh
2026-04-07 09:50:00,0 Wh
2026-04-07 10:00:00,0 Wh
2026-04-07 10:10:00,0 Wh
2026-04-07 10:20:00,0 Wh
2026-04-07 10:30:00,0 Wh
2026-04-07 10:40:00,0 Wh
2026-04-07 10:50:00,0 Wh
2026-04-07 11:00:00,0 Wh
2026-04-07 11:10:00,0 Wh
2026-04-07 11:20:00,0 Wh
2026-04-07 11:30:00,0 Wh
2026-04-07 11:40:00,0 Wh
2026-04-07 11:50:00,0 Wh
2026-04-07 12:00:00,0 Wh
2026-04-07 12:10:00,0 Wh
2026-04-07 12:20:00,94.8 Wh
2026-04-07 12:30:00,19.2 Wh
2026-04-07 12:40:00,50.7 Wh
2026-04-07 12:50:00,8.83 Wh
2026-04-07 13:00:00,28.7 Wh
2026-04-07 13:10:00,0 Wh
2026-04-07 13:20:00,15.2 Wh
2026-04-07 13:30:00,23.2 Wh
2026-04-07 13:40:00,23.6 Wh
2026-04-07 13:50:00,21.4 Wh
2026-04-07 14:00:00,21.9 Wh
2026-04-07 14:10:00,25.7 Wh
2026-04-07 14:20:00,29.3 Wh
2026-04-07 14:30:00,29.0 Wh
2026-04-07 14:40:00,29.1 Wh
2026-04-07 14:50:00,28.9 Wh
2026-04-07 15:00:00,29.0 Wh
2026-04-07 15:10:00,15.7 Wh
2026-04-07 15:20:00,27.2 Wh
2026-04-07 15:30:00,29.6 Wh
2026-04-07 15:40:00,29.3 Wh
2026-04-07 15:50:00,29.7 Wh
2026-04-07 16:00:00,29.6 Wh
2026-04-07 16:10:00,29.4 Wh
2026-04-07 16:20:00,36.1 Wh
2026-04-07 16:30:00,40.9 Wh
2026-04-07 16:40:00,40.5 Wh
2026-04-07 16:50:00,39.8 Wh
2026-04-07 17:00:00,40.4 Wh
2026-04-07 17:10:00,40.1 Wh
2026-04-07 17:20:00,39.9 Wh
2026-04-07 17:30:00,39.8 Wh
2026-04-07 17:40:00,39.6 Wh
2026-04-07 17:50:00,39.5 Wh
2026-04-07 18:00:00,39.3 Wh
2026-04-07 18:10:00,38.9 Wh
2026-04-07 18:20:00,38.7 Wh
2026-04-07 18:30:00,38.7 Wh
2026-04-07 18:40:00,38.4 Wh
2026-04-07 18:50:00,38.7 Wh
2026-04-07 19:00:00,38.7 Wh
2026-04-07 19:10:00,39.0 Wh
2026-04-07 19:20:00,39.3 Wh
2026-04-07 19:30:00,39.0 Wh
2026-04-07 19:40:00,39.1 Wh
2026-04-07 19:50:00,38.8 Wh
2026-04-07 20:00:00,38.7 Wh
2026-04-07 20:10:00,39.1 Wh
2026-04-07 20:20:00,39.1 Wh
2026-04-07 20:30:00,39.4 Wh
2026-04-07 20:40:00,39.4 Wh
2026-04-07 20:50:00,39.6 Wh
2026-04-07 21:00:00,39.7 Wh
2026-04-07 21:10:00,40.1 Wh
2026-04-07 21:20:00,40.4 Wh
2026-04-07 21:30:00,40.3 Wh
2026-04-07 21:40:00,40.0 Wh
2026-04-07 21:50:00,40.4 Wh
2026-04-07 22:00:00,40.2 Wh
2026-04-07 22:10:00,40.7 Wh
2026-04-07 22:20:00,40.0 Wh
2026-04-07 22:30:00,28.1 Wh
2026-04-07 22:40:00,0 Wh
2026-04-07 22:50:00,0 Wh
2026-04-07 23:00:00,0 Wh
2026-04-07 23:10:00,0 Wh
2026-04-07 23:20:00,0 Wh
2026-04-07 23:30:00,0 Wh
2026-04-07 23:40:00,0 Wh
2026-04-07 23:50:00,0 Wh
2026-04-08 00:00:00,0 Wh
2026-04-08 00:10:00,0 Wh
2026-04-08 00:20:00,0 Wh
2026-04-08 00:30:00,0 Wh
2026-04-08 00:40:00,0 Wh
2026-04-08 00:50:00,0 Wh
2026-04-08 01:00:00,0 Wh
2026-04-08 01:10:00,0 Wh
2026-04-08 01:20:00,0 Wh
2026-04-08 01:30:00,0 Wh
2026-04-08 01:40:00,0 Wh
2026-04-08 01:50:00,0 Wh
2026-04-08 02:00:00,0 Wh
2026-04-08 02:10:00,0 Wh
2026-04-08 02:20:00,0 Wh
2026-04-08 02:30:00,0 Wh
2026-04-08 02:40:00,0 Wh
2026-04-08 02:50:00,0 Wh
2026-04-08 03:00:00,0 Wh
2026-04-08 03:10:00,0 Wh
2026-04-08 03:20:00,0 Wh
2026-04-08 03:30:00,16.7 Wh
2026-04-08 03:40:00,38.0 Wh
2026-04-08 03:50:00,37.1 Wh
2026-04-08 04:00:00,36.7 Wh
2026-04-08 04:10:00,36.7 Wh
2026-04-08 04:20:00,36.2 Wh
2026-04-08 04:30:00,35.9 Wh
2026-04-08 04:40:00,35.9 Wh
2026-04-08 04:50:00,35.7 Wh
2026-04-08 05:00:00,36.4 Wh
2026-04-08 05:10:00,36.2 Wh
2026-04-08 05:20:00,14.4 Wh
2026-04-08 05:30:00,0 Wh
2026-04-08 05:40:00,0 Wh
2026-04-08 05:50:00,0 Wh
2026-04-08 06:00:00,0 Wh
2026-04-08 06:10:00,0 Wh
2026-04-08 06:20:00,0 Wh
2026-04-08 06:30:00,0 Wh
2026-04-08 06:40:00,0 Wh
2026-04-08 06:50:00,5.32 Wh
2026-04-08 07:00:00,0 Wh
2026-04-08 07:10:00,0 Wh
2026-04-08 07:20:00,0 Wh
2026-04-08 07:30:00,0 Wh
2026-04-08 07:40:00,0 Wh
2026-04-08 07:50:00,0 Wh
2026-04-08 08:00:00,0 Wh
2026-04-08 08:10:00,0 Wh
2026-04-08 08:20:00,0 Wh
2026-04-08 08:30:00,0 Wh
2026-04-08 08:40:00,0 Wh
2026-04-08 08:50:00,0 Wh
2026-04-08 09:00:00,0 Wh
2026-04-08 09:10:00,0 Wh
2026-04-08 09:20:00,0 Wh
2026-04-08 09:30:00,0 Wh
2026-04-08 09:40:00,0 Wh
2026-04-08 09:50:00,0 Wh
2026-04-08 10:00:00,0 Wh
2026-04-08 10:10:00,0 Wh
2026-04-08 10:20:00,0 Wh
2026-04-08 10:30:00,0 Wh
2026-04-08 10:40:00,0 Wh
2026-04-08 10:50:00,0 Wh
2026-04-08 11:00:00,632 mWh
2026-04-08 11:10:00,14.7 Wh
2026-04-08 11:20:00,6.45 Wh
2026-04-08 11:30:00,0 Wh
2026-04-08 11:40:00,0 Wh
2026-04-08 11:50:00,0 Wh
2026-04-08 12:00:00,5.59 Wh
2026-04-08 12:10:00,19.4 Wh
2026-04-08 12:20:00,19.6 Wh
2026-04-08 12:30:00,19.5 Wh
2026-04-08 12:40:00,19.8 Wh
2026-04-08 12:50:00,19.9 Wh
2026-04-08 13:00:00,20.2 Wh
2026-04-08 13:10:00,20.2 Wh
2026-04-08 13:20:00,20.2 Wh
2026-04-08 13:30:00,20.5 Wh
2026-04-08 13:40:00,20.4 Wh
2026-04-08 13:50:00,20.6 Wh
2026-04-08 14:00:00,20.2 Wh
2026-04-08 14:10:00,20.3 Wh
2026-04-08 14:20:00,32.3 Wh
2026-04-08 14:30:00,57.3 Wh
2026-04-08 14:40:00,59.0 Wh
2026-04-08 14:50:00,58.3 Wh
2026-04-08 15:00:00,57.4 Wh
2026-04-08 15:10:00,58.1 Wh
2026-04-08 15:20:00,58.7 Wh
2026-04-08 15:30:00,47.2 Wh
2026-04-08 15:40:00,38.8 Wh
2026-04-08 15:50:00,41.3 Wh
2026-04-08 16:00:00,1.24 Wh
2026-04-08 16:10:00,34.4 Wh
2026-04-08 16:20:00,39.9 Wh
2026-04-08 16:30:00,40.0 Wh
2026-04-08 16:40:00,39.3 Wh
2026-04-08 16:50:00,38.9 Wh
2026-04-08 17:00:00,39.1 Wh
2026-04-08 17:10:00,38.9 Wh
2026-04-08 17:20:00,39.5 Wh
2026-04-08 17:30:00,39.7 Wh
2026-04-08 17:40:00,39.5 Wh
2026-04-08 17:50:00,39.8 Wh
2026-04-08 18:00:00,39.6 Wh
2026-04-08 18:10:00,39.5 Wh
2026-04-08 18:20:00,39.4 Wh
2026-04-08 18:30:00,39.4 Wh
2026-04-08 18:40:00,39.4 Wh
2026-04-08 18:50:00,39.6 Wh
2026-04-08 19:00:00,38.7 Wh
2026-04-08 19:10:00,39.2 Wh
2026-04-08 19:20:00,39.9 Wh
2026-04-08 19:30:00,39.3 Wh
2026-04-08 19:40:00,38.8 Wh
2026-04-08 19:50:00,39.6 Wh
2026-04-08 20:00:00,39.3 Wh
2026-04-08 20:10:00,38.9 Wh
2026-04-08 20:20:00,39.4 Wh
2026-04-08 20:30:00,39.7 Wh
2026-04-08 20:40:00,38.9 Wh
2026-04-08 20:50:00,38.2 Wh
2026-04-08 21:00:00,38.5 Wh
2026-04-08 21:10:00,38.0 Wh
2026-04-08 21:20:00,38.2 Wh
2026-04-08 21:30:00,39.1 Wh
2026-04-08 21:40:00,38.9 Wh
2026-04-08 21:50:00,38.9 Wh
2026-04-08 22:00:00,39.6 Wh
2026-04-08 22:10:00,39.1 Wh
2026-04-08 22:20:00,39.2 Wh
2026-04-08 22:30:00,38.7 Wh
2026-04-08 22:40:00,38.6 Wh
2026-04-08 22:50:00,35.0 Wh
2026-04-08 23:00:00,0 Wh
2026-04-08 23:10:00,0 Wh
2026-04-08 23:20:00,0 Wh
2026-04-08 23:30:00,0 Wh
2026-04-08 23:40:00,0 Wh
2026-04-08 23:50:00,0 Wh
2026-04-09 00:00:00,0 Wh
2026-04-09 00:10:00,0 Wh
2026-04-09 00:20:00,0 Wh
2026-04-09 00:30:00,0 Wh
2026-04-09 00:40:00,0 Wh
2026-04-09 00:50:00,0 Wh
2026-04-09 01:00:00,0 Wh
2026-04-09 01:10:00,0 Wh
2026-04-09 01:20:00,0 Wh
2026-04-09 01:30:00,0 Wh
2026-04-09 01:40:00,0 Wh
2026-04-09 01:50:00,0 Wh
2026-04-09 02:00:00,0 Wh
2026-04-09 02:10:00,0 Wh
2026-04-09 02:20:00,0 Wh
2026-04-09 02:30:00,0 Wh
2026-04-09 02:40:00,0 Wh
2026-04-09 02:50:00,0 Wh
2026-04-09 03:00:00,0 Wh
2026-04-09 03:10:00,0 Wh
2026-04-09 03:20:00,11.1 Wh
2026-04-09 03:30:00,18.6 Wh
2026-04-09 03:40:00,13.8 Wh
2026-04-09 03:50:00,11.0 Wh
2026-04-09 04:00:00,11.0 Wh
2026-04-09 04:10:00,718 mWh
2026-04-09 04:20:00,0 Wh
2026-04-09 04:30:00,0 Wh
2026-04-09 04:40:00,0 Wh
2026-04-09 04:50:00,0 Wh
2026-04-09 05:00:00,1.93 Wh
2026-04-09 05:10:00,11.0 Wh
2026-04-09 05:20:00,11.0 Wh
2026-04-09 05:30:00,11.1 Wh
2026-04-09 05:40:00,3.83 Wh
2026-04-09 05:50:00,0 Wh
2026-04-09 06:00:00,0 Wh
2026-04-09 06:10:00,0 Wh
2026-04-09 06:20:00,0 Wh
2026-04-09 06:30:00,0 Wh
2026-04-09 06:40:00,0 Wh
2026-04-09 06:50:00,5.02 Wh
2026-04-09 07:00:00,11.0 Wh
2026-04-09 07:10:00,11.1 Wh
2026-04-09 07:20:00,11.1 Wh
2026-04-09 07:30:00,7.10 Wh
2026-04-09 07:40:00,1.77 Wh
2026-04-09 07:50:00,0 Wh
2026-04-09 08:00:00,0 Wh
2026-04-09 08:10:00,0 Wh
2026-04-09 08:20:00,34.6 Wh
2026-04-09 08:30:00,42.8 Wh
2026-04-09 08:40:00,42.8 Wh
2026-04-09 08:50:00,28.5 Wh
2026-04-09 09:00:00,0 Wh
2026-04-09 09:10:00,0 Wh
2026-04-09 09:20:00,0 Wh
2026-04-09 09:30:00,0 Wh
2026-04-09 09:40:00,0 Wh
