"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-02-06 08:00:00,-4.22 Wh,-4.47 Wh,-29.3 Wh,-4.37 Wh,-780 mWh
2026-02-06 09:00:00,-4.90 Wh,-4.46 Wh,-29.0 Wh,-4.40 Wh,-15.3 Wh
2026-02-06 10:00:00,-6.11 Wh,-4.47 Wh,-28.4 Wh,-4.41 Wh,-44.8 Wh
2026-02-06 11:00:00,-4.96 Wh,-4.49 Wh,-28.4 Wh,-4.43 Wh,-19.0 Wh
2026-02-06 12:00:00,-4.13 Wh,-4.33 Wh,-28.5 Wh,-4.44 Wh,0 Wh
2026-02-06 13:00:00,-4.18 Wh,-4.37 Wh,-28.6 Wh,-4.43 Wh,0 Wh
2026-02-06 14:00:00,-4.18 Wh,-4.40 Wh,-27.8 Wh,-4.45 Wh,0 Wh
2026-02-06 15:00:00,-4.17 Wh,-4.36 Wh,-28.1 Wh,-4.43 Wh,0 Wh
2026-02-06 16:00:00,-4.17 Wh,-4.38 Wh,-28.5 Wh,-4.44 Wh,0 Wh
2026-02-06 17:00:00,-4.18 Wh,-4.45 Wh,-27.9 Wh,-4.39 Wh,0 Wh
2026-02-06 18:00:00,-5.26 Wh,-4.48 Wh,-29.1 Wh,-4.37 Wh,-19.5 Wh
2026-02-06 19:00:00,-4.67 Wh,-4.50 Wh,-28.0 Wh,-4.38 Wh,-11.7 Wh
2026-02-06 20:00:00,-5.41 Wh,-4.58 Wh,-28.3 Wh,-4.38 Wh,-23.8 Wh
2026-02-06 21:00:00,-4.24 Wh,-4.44 Wh,-27.7 Wh,-4.39 Wh,-1.30 Wh
2026-02-06 22:00:00,-4.26 Wh,-4.54 Wh,-28.3 Wh,-4.36 Wh,-2.39 Wh
2026-02-06 23:00:00,-4.40 Wh,-4.47 Wh,-27.9 Wh,-4.38 Wh,-3.20 Wh
2026-02-07 00:00:00,-6.38 Wh,-4.60 Wh,-28.3 Wh,-4.39 Wh,-18.0 Wh
2026-02-07 01:00:00,-6.51 Wh,-4.54 Wh,-28.6 Wh,-4.37 Wh,-15.3 Wh
2026-02-07 02:00:00,-6.39 Wh,-4.58 Wh,-28.1 Wh,-4.37 Wh,-15.8 Wh
2026-02-07 03:00:00,-6.49 Wh,-4.46 Wh,-27.8 Wh,-4.36 Wh,-16.0 Wh
2026-02-07 04:00:00,-6.26 Wh,-4.59 Wh,-28.1 Wh,-4.36 Wh,-16.5 Wh
2026-02-07 05:00:00,-4.37 Wh,-4.72 Wh,-27.6 Wh,-4.37 Wh,-2.77 Wh
2026-02-07 06:00:00,-4.14 Wh,-4.63 Wh,-27.7 Wh,-4.34 Wh,0 Wh
2026-02-07 07:00:00,-6.55 Wh,-4.62 Wh,-30.4 Wh,-4.33 Wh,-27.0 Wh
2026-02-07 08:00:00,-6.32 Wh,-4.41 Wh,-30.0 Wh,-4.34 Wh,-25.8 Wh
2026-02-07 09:00:00,-4.18 Wh,-4.47 Wh,-28.3 Wh,-4.36 Wh,0 Wh
2026-02-07 10:00:00,-4.16 Wh,-4.49 Wh,-28.7 Wh,-4.41 Wh,0 Wh
2026-02-07 11:00:00,-4.16 Wh,-4.57 Wh,-29.1 Wh,-4.41 Wh,0 Wh
2026-02-07 12:00:00,-4.17 Wh,-4.53 Wh,-28.6 Wh,-4.43 Wh,0 Wh
2026-02-07 13:00:00,-4.18 Wh,-4.52 Wh,-28.0 Wh,-4.43 Wh,0 Wh
2026-02-07 14:00:00,-4.18 Wh,-4.57 Wh,-28.4 Wh,-4.38 Wh,0 Wh
2026-02-07 15:00:00,-4.16 Wh,-4.45 Wh,-28.8 Wh,-4.40 Wh,0 Wh
2026-02-07 16:00:00,-4.81 Wh,-4.66 Wh,-28.0 Wh,-4.37 Wh,-7.17 Wh
2026-02-07 17:00:00,-4.18 Wh,-4.64 Wh,-27.7 Wh,-4.39 Wh,-90.6 mWh
2026-02-07 18:00:00,-5.77 Wh,-4.68 Wh,-28.7 Wh,-4.38 Wh,-22.0 Wh
2026-02-07 19:00:00,-5.90 Wh,-4.59 Wh,-28.5 Wh,-4.38 Wh,-25.6 Wh
2026-02-07 20:00:00,-4.27 Wh,-4.43 Wh,-28.0 Wh,-4.36 Wh,-1.54 Wh
2026-02-07 21:00:00,-4.73 Wh,-4.48 Wh,-28.1 Wh,-4.35 Wh,-8.43 Wh
2026-02-07 22:00:00,-4.18 Wh,-4.48 Wh,-28.8 Wh,-4.36 Wh,-139 mWh
2026-02-07 23:00:00,-4.90 Wh,-4.65 Wh,-28.8 Wh,-4.34 Wh,-11.9 Wh
2026-02-08 00:00:00,-6.30 Wh,-4.55 Wh,-28.3 Wh,-4.38 Wh,-24.8 Wh
2026-02-08 01:00:00,-5.25 Wh,-4.47 Wh,-28.1 Wh,-4.36 Wh,-21.4 Wh
