"Time","Panel 1","Panel 2","Panel 3"
2026-02-25 21:00:00,4.75 Wh,5.23 Wh,0 Wh
2026-02-25 22:00:00,4.77 Wh,5.22 Wh,0 Wh
2026-02-25 23:00:00,4.58 Wh,5.17 Wh,0 Wh
2026-02-26 00:00:00,4.61 Wh,5.24 Wh,0 Wh
2026-02-26 01:00:00,4.57 Wh,5.19 Wh,0 Wh
2026-02-26 02:00:00,4.57 Wh,5.16 Wh,0 Wh
2026-02-26 03:00:00,4.64 Wh,5.19 Wh,0 Wh
2026-02-26 04:00:00,4.68 Wh,5.20 Wh,0 Wh
2026-02-26 05:00:00,4.65 Wh,5.15 Wh,0 Wh
2026-02-26 06:00:00,4.55 Wh,5.57 Wh,38.6 mWh
2026-02-26 07:00:00,6.72 Wh,15.9 Wh,6.18 Wh
2026-02-26 08:00:00,14.7 Wh,40.7 Wh,15.1 Wh
2026-02-26 09:00:00,18.0 Wh,70.7 Wh,23.1 Wh
2026-02-26 10:00:00,12.2 Wh,81.8 Wh,25.1 Wh
2026-02-26 11:00:00,13.9 Wh,99.0 Wh,31.0 Wh
2026-02-26 12:00:00,8.03 Wh,101 Wh,30.7 Wh
2026-02-26 13:00:00,13.4 Wh,99.0 Wh,30.9 Wh
2026-02-26 14:00:00,8.28 Wh,81.0 Wh,24.1 Wh
2026-02-26 15:00:00,10.7 Wh,33.9 Wh,16.5 Wh
2026-02-26 16:00:00,7.61 Wh,22.3 Wh,9.60 Wh
2026-02-26 17:00:00,5.47 Wh,10.8 Wh,2.96 Wh
2026-02-26 18:00:00,4.84 Wh,5.21 Wh,0 Wh
2026-02-26 19:00:00,4.56 Wh,5.03 Wh,0 Wh
2026-02-26 20:00:00,4.35 Wh,5.17 Wh,0 Wh
2026-02-26 21:00:00,4.36 Wh,5.08 Wh,0 Wh
2026-02-26 22:00:00,4.31 Wh,5.10 Wh,0 Wh
2026-02-26 23:00:00,4.29 Wh,5.07 Wh,0 Wh
2026-02-27 00:00:00,4.18 Wh,5.04 Wh,0 Wh
2026-02-27 01:00:00,4.10 Wh,4.96 Wh,0 Wh
2026-02-27 02:00:00,4.19 Wh,5.05 Wh,0 Wh
2026-02-27 03:00:00,4.25 Wh,5.03 Wh,0 Wh
2026-02-27 04:00:00,4.17 Wh,5.01 Wh,0 Wh
2026-02-27 05:00:00,4.16 Wh,5.01 Wh,0 Wh
2026-02-27 06:00:00,4.18 Wh,5.34 Wh,0 Wh
2026-02-27 07:00:00,6.71 Wh,15.0 Wh,4.71 Wh
2026-02-27 08:00:00,10.8 Wh,34.8 Wh,14.5 Wh
2026-02-27 09:00:00,23.9 Wh,68.7 Wh,25.3 Wh
2026-02-27 10:00:00,16.9 Wh,76.6 Wh,27.6 Wh
