"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor","Solar"
2026-03-11 08:50:00,-715 Wh,0 Wh,-3.17 kWh,-526 Wh,-4.92 kWh,6.66 kWh
2026-03-11 09:00:00,-716 Wh,0 Wh,-3.18 kWh,-527 Wh,-4.93 kWh,6.67 kWh
2026-03-11 09:10:00,-717 Wh,0 Wh,-3.18 kWh,-528 Wh,-4.93 kWh,6.69 kWh
2026-03-11 09:20:00,-718 Wh,0 Wh,-3.18 kWh,-528 Wh,-4.94 kWh,6.70 kWh
2026-03-11 09:30:00,-718 Wh,0 Wh,-3.18 kWh,-529 Wh,-4.94 kWh,6.72 kWh
2026-03-11 09:40:00,-721 Wh,0 Wh,-3.18 kWh,-530 Wh,-4.95 kWh,6.73 kWh
2026-03-11 09:50:00,-722 Wh,0 Wh,-3.18 kWh,-531 Wh,-4.95 kWh,6.75 kWh
2026-03-11 10:00:00,-723 Wh,0 Wh,-3.18 kWh,-531 Wh,-4.96 kWh,6.77 kWh
2026-03-11 10:10:00,-724 Wh,0 Wh,-3.18 kWh,-532 Wh,-4.96 kWh,6.79 kWh
2026-03-11 10:20:00,-725 Wh,0 Wh,-3.18 kWh,-533 Wh,-4.97 kWh,6.82 kWh
2026-03-11 10:30:00,-725 Wh,0 Wh,-3.18 kWh,-534 Wh,-4.97 kWh,6.84 kWh
2026-03-11 10:40:00,-726 Wh,0 Wh,-3.19 kWh,-534 Wh,-4.98 kWh,6.87 kWh
2026-03-11 10:50:00,-728 Wh,0 Wh,-3.19 kWh,-535 Wh,-4.98 kWh,6.89 kWh
2026-03-11 11:00:00,-729 Wh,0 Wh,-3.20 kWh,-536 Wh,-4.99 kWh,6.92 kWh
2026-03-11 11:10:00,-730 Wh,0 Wh,-3.20 kWh,-536 Wh,-4.99 kWh,6.94 kWh
2026-03-11 11:20:00,-731 Wh,0 Wh,-3.21 kWh,-537 Wh,-5.00 kWh,6.97 kWh
2026-03-11 11:30:00,-732 Wh,0 Wh,-3.21 kWh,-538 Wh,-5.00 kWh,7.01 kWh
2026-03-11 11:40:00,-733 Wh,0 Wh,-3.22 kWh,-539 Wh,-5.01 kWh,7.03 kWh
2026-03-11 11:50:00,-734 Wh,0 Wh,-3.22 kWh,-539 Wh,-5.02 kWh,7.06 kWh
2026-03-11 12:00:00,-736 Wh,0 Wh,-3.22 kWh,-540 Wh,-5.03 kWh,7.09 kWh
